question,answer,image_id
what is the object that placed below the shelves and to the right of the pen holder,flatbed_scanner,image11
what is the machine placed on the counter close to the wall,printer,image11
what are the sheets that are kept close on the shelves,paper,image11
what are the objects placed on the counter left side of the printer,"stapler, staple_remover, tape_dispenser, hole_puncher",image11
what are the objects that are placed close inside the pen stand,"pen, pencil, scale",image11
what are the objects placed on the counter below the shelves,"tape_dispenser, hole_puncher, paper_holder",image12
what are the objects stuck close to the wall above the counter,paper,image12
what are the objects that are fitted close to the ceiling,"air_vent, light, fire_alarm",image12
what is the object that is placed right of the wall and left of the tall cabinet,garbage_bin,image12
what is the round object that is hung close to the cabinet above the fan,clock,image13
what are the objects that are stacked on the counter,"file_container, file_stand, file_holder",image13
what is the object that is on the counter below the shelve rack,fan,image13
what is the object on top of the cabinet below the ceiling close to the wall,modem,image13
what are glued close to the cabinet doors,photo,image13
what is the object fitted close to the wall,projector_screen,image19
what is the object attached close to the ceiling,projector,image19
what is the largest object,table,image19
how many black chairs are there,6,image19
how many lights are switched on,2,image19
what is the object placed in front of the wall to the right and left of the chairs,table,image20
what is placed on the table to the right of the wall,computer,image20
what is the displaying object close to the wall,projector,image20
what is the white sheet stuck close to the wall,projector_screen,image20
what are objects close to the poster board,"paper, clock",image22
what are the objects kept on the table,"monitor, pen_holder, hand_sanitizer, tissue, file_holder, paper",image22
what is the object close and left of the table,garbage_bin,image22
what is the object behind the see through room divider,sofa,image22
how many lights are on,3,image22
what are the objects close to the poster board,"paper, clock",image23
what is the object close to the chair,jacket,image23
what are the objects fitted close to the wall,"fire_alarm, poster_board, coat_hanger, framed_certificate",image23
what is the object close to the wall left side of the printer,whiteboard,image24
what are the objects kept the shelf close to the wall,"books, paper_holder",image24
what is kept close on the second shelf on the rack,paper_holder,image25
what are object on the top shelves of the shelf frame,books,image25
what is the object hung close in front of the window,projector_screen,image26
what is the object close to the wall,whiteboard,image26
what is the largest object,table,image26
how many red chairs are there,5,image26
what is the object close to the ceiling and in front of the window,projector_screen,image27
what are the objects on the table,"bottle, glass, pen_stand, pen, paper, book",image27
what is the object in front of the projector screen,table,image27
what is the object below the shelf frame,toilet,image44
what is the object close to the cabinet,sink,image44
what are the objects on the shelf frame,"hair_brush, toothbrush, makeup_brush, face_wash_cream, bottle_of_liquid",image44
what is the object close on the floor,floor_mat,image45
what are the objects on the shelf frame,"hair_brush, toothbrush, makeup_brush, face_wash_cream, bottle_of_liquid",image45
what is the largest object,cabinet,image45
what is the basin fitted close to the wall,sink,image48
what is the object left of the sink,room_divider,image48
what is the object on the sink,hand_sanitizer,image48
what is the largest object,cabinet,image49
what is the object above the sink close to the wall,mirror,image49
what are the objects on the sink,"toothbrush, toothbrush_holder, toothpaste, hand_sanitizer",image49
what is the largest object,sofa,image50
what is the object close to the wall above the sofa,picture,image50
what are objects in front of the window,"plant, picture, table, light",image50
what are the objects close to the wall,"shelf_frame, picture, wall_decoration",image51
what is the object in front of the wall to the left side of the shelf frame,sofa,image51
what are the objects in the shelf,book,image51
what is the object in front of the wall and to the right of the rack,lamp,image52
what are objects kept on the rack close to the wall,books,image52
what is the object close to the wall above the rack,picture,image52
what is the object on top of the rack,"candle, bowl, banana",image52
what are the objects close to the wall,"books, magazine_holder, wall_decoration",image53
how many chairs are there,1,image53
what is the object right side of the table and left of the dustbin,wall_divider,image53
what is the largest object,table,image54
what are the objects on the table,"laptop, books, headphones, paper",image54
what is the object right of the wall divider,garbage_bin,image54
what is the object left of the chair on the floor,excercise_ball,image55
what are the objects close to the wall,"wall_decoration, framed_certificate",image55
what is the object in front of the wall,table,image55
how many pillows are there,2,image58
what are the objects on the cot,"pillow, blanket",image58
what is the object close to the wall,wall_decoration,image58
what are the objects on the bed,"pillow, blanket",image64
what is the object in front of the room divider and right side of the cot,table,image64
what is the object behind the cot and the table,room_divider,image64
what is the largest object,blanket,image65
what are the objects on the bed,"blanket, pillow",image65
what is the object behind the bed,wall,image65
what are the objects on the side table below the window screen,"soft_toy, toy, photo",image66
what is the largest object,cabinet,image66
what are the objects on the cabinet top,"book, lamp, perfume, hand_sanitizer",image66
what is the object close to the wall in the corner on the floor,soft_toy,image67
what are the objects on the rack in the second and third shelves,books,image67
what is the largest object,television,image68
what are the objects on the rack,"television, dvd_player, hand_sanitizer",image68
what are kept on the floor on the left side of the cabinet,bag,image68
what are the objects kept on the floor,"cabinet, bag",image69
what are the objects in the middle rack of the shelf,books,image69
what are the objects on the bed,"pillow, blanket, clothes, jacket",image70
what is the object on top of the side table,flower_pot,image70
what is the object close to the wall above the cot,window,image70
what is the object on the window shelf,photo,image71
what is the largest object,wardrobe,image72
what are the objects kept on the shelves in the wardrobe,"shoe, clothes, cream, jacket",image72
how many wall decorations are there close to the wall,3,image73
what are the objects on the bed,"pillow, blanket",image73
what are objects on the side table right of the bed,"bottle, lamp, book, hand_sanitizer",image73
what are the objects on the bed,"pillow, bed_sheets, blanket",image74
what is the object in front of the wall,bed,image74
what is the largest object,cabinet,image75
what is the object right of the window screen,hockey_stick,image80
what is the object below the window close to the wall,heater,image80
what are the objects on the tall shelf in front of the wall,"book, hockey_glove, picture",image80
what are the objects on the bed,"pillow, blanket, jacket",image81
how many lamps are on,1,image81
what is the object right of the bed and in front wall,table,image81
what is the object that is largest,cabinet,image82
what are the objects on the floor,"bag, suitcase",image82
what are objects on top of the bed,"pillow, blanket, clothes",image82
what is the largest object on the table,laptop,image83
what is the object on the table in front of the laptop,mouse,image83
what are the objects on top of the table,"laptop, mouse, books, pen, paper",image83
what are the objects on the shelf,clothes,image92
what are the objects close to the ceiling,spot_light,image92
what is the object close to the wall,clock,image92
what are the objects kept on the boxes,books,image93
what are the objects hang close to the wall,clothes,image93
what are the objects on the table that is close to the wall,"laptop, telephone, lamp, printer",image93
what are the objects hung close on the hangers,clothes,image94
what is the object close to the ceiling,spot_light,image94
what is the object close to the wall,clock,image94
what are the objects hung close on the hangers,jacket,image95
what is the object close to the ceiling,spot_light,image95
what are the objects hung close on the hangers,jacket,image96
what is the object close to the ceiling,spot_light,image96
what is the object close to the wall in front of the pillar,shelf_frame,image96
what is the object on top of the shelf frame,cup,image97
how many glass racks are there,4,image97
what is the object on top of the shelf frame,cup,image98
what is the object on the shelf close to the wall,books,image98
what is the object on the floor in the doorway,toy_chair,image98
what is the object hanging on the hangers,jacket,image99
what is the object on the shelves,books,image99
what is the object on the post case,notecards,image99
what is the object hanging on the hangers,jacket,image100
what is the object on the shelves,cup,image100
what is the object on the post case,notecards,image100
what are the objects on the rack,"cup, books",image101
how many rack shelves are there with coffee mugs,2,image101
what is the object on the side rack that rotates,notecards,image101
what are the objects in the shelf,"cup, bottle",image102
what is the object kept on the floor close to the shelves,stool,image102
what is the object on the side rack,photo_album,image102
what is the object on the tall shelf frame close to the wall,photo_album,image103
what is the object on the side rack,cup,image103
what are the objects on the shelves,books,image104
what is stuck close to every shelf frame,sticker,image104
what is the object on the floor close to the shelves,step_stool,image104
what are the objects on the shelves,books,image105
what is stuck close to every shelf frame,sticker,image105
what is the object on the floor close to the shelves,stool,image105
how many stools are there,2,image105
what are the objects on the shelves,books,image106
what is stuck close to every shelf frame,sticker,image106
what is the brown cardboard kept on the floor close to the shelves,box,image106
what is the object stuck close to the wall,wall_decoration,image106
what are the objects on the shelves,books,image107
what is stuck close to every shelf frame in front of the books,sticker,image107
what is the object that is built on the floor close around the pillar,table,image107
what is the object close to the ceiling,light,image107
what is the board close to the ceiling that says course book lists,sign,image108
what is the black object on the counter close to the printer,tape_dispenser,image108
what is the object on the floor close to the pillar,trolley,image108
what are the objects that are stacked on the shelf frames,books,image108
how many black machines are there on the counter,3,image109
what is object on the ground close to the counter,trolley,image109
what is the object on the floor left of the bookshelf,stool,image109
what is the red object close to the pillar,fire_alarm,image109
how many trollies are there,2,image110
what is the blue object on the ground close to the pillar,garbage_bin,image110
what are the objects on the floor right of the pillar,shopping_baskets,image110
how many monitors are there,4,image111
what are the objects on the shelves,books,image111
what is stuck close to every shelf frame in front of the books,sticker,image111
what is the object close to the ceiling,light,image111
how many monitors are there,3,image112
what is object on the floor close to the counter,garbage_bin,image112
what is the object on the counter to the left and right of the monitors,box,image112
what are the objects on the counter,"monitor, paper, mouse, keyboard, box",image112
what are the objects on the shelves,books,image113
what is stuck close to every shelf frame in front of the books,sticker,image113
what is the object close to the wall,wall_decoration,image113
what is the object on the monitor,toy,image114
how many billing counters are there,6,image114
what is the object close to the ceiling,light,image114
what are the objects that are hung on the hangers,"jacket, bag",image115
what is the largest object,jacket,image115
what is the object to which the jackets are hung close to,hangers,image115
what are the objects in the image116 close to the shelf,jacket,image116
what is the object to which the jackets are hung,hangers,image116
what is the object close to the pillar on the floor,table,image116
how many square tables are there,1,image120
what is the object close to the wall,whiteboard,image120
what is the object close to the whiteboard in the corner of the room,plant,image120
what is the brown object on the table,jacket,image120
how many coffee machines are there,2,image121
what are the objects on the front table,"coffee_packet, cup",image121
what is the object above the shelves close to the wall,blackboard,image121
what is the below the blackboard on the table,plant,image122
what is the object on the counter,tissue_box,image122
what is the object above the shelves close to the wall,blackboard,image122
what is the object above the shelves close to the wall,blackboard,image123
what is the blue object on the floor close to the floor,garbage_bin,image123
what are the objects on the counter,"box, tissue_box, cup, bottle, plant",image123
what is the edible object kept on the trays,bread,image123
how many bottles are there on the counter,4,image124
what is the object left of the cups on the counter,plant,image124
what is the object right of the cup on the counter,tissue_box,image124
what is the object above the shelves close to the wall,blackboard,image124
what is the yellow cloth hung close to the refrigerator handle,tablecloth,image130
what is the close to the counter,sink,image130
what is the object kept on the stove burner,tea_kettle,image130
what are the objects close to the wall,"spice_rack, spice_bottle",image135
what is the largest container in the image135 that is on the counter,oil_container,image135
what are the objects close to the counter,"faucet, sink",image135
what is object kept on the stove,aluminium_foil,image136
what is the object close to the wall,spice_rack,image136
what are the bottles kept on the spice rack,spice_bottle,image136
what is the object above the stove close to the wall,microwave,image136
what is the object close to the wall below the window,air_vent,image138
what is the object in front of the stove on the counter,bottle,image138
what are the objects close to the counter below the cabinet,"faucet, sink",image138
what is the largest object in the image139 on the counter,microwave,image139
what is the black object on the counter below the cabinet,hot_water_heater,image139
what is the object on the ground below the counter,dishwasher,image139
what is the largest object,hot_water_heater,image140
what is the object close to the wall above the counter,switchbox,image140
what are the objects close to the counter,"sink, faucet",image140
what is the largest object,stove,image141
what is the object close to the wall below the window,air_vent,image141
what is the object on the floor close to the window wall,chair,image141
what is the object above the air vent,window,image141
what is the object on the counter behind the bottles,knife_rack,image142
how many brown bottles are there,4,image142
what is the object close to the wall above the air vent,window,image142
what are the objects close to the counter,"sink, faucet",image143
what is the object above the stove close to the wall,microwave,image144
what is the object close to the counter below the cabinet,"sink, faucet",image144
what are the objects close to the wall above the counter,cabinet,image144
what is the largest object,stove,image145
what is the object above the stove close to the wall,microwave,image145
what are the object on the counter left of the stove,"hot_water_heater, microwave, bottle, plate",image145
how many laptops are there,1,image146
what is the object on which the laptop is kept,table,image146
what is the object on the side table,photo,image146
what is the object close to the wall behind the table,cabinet,image146
what is largest object,television,image147
what is the object close to the television table,dvd_player,image147
what is the object kept on the side stool,photo,image147
what is the object on the floor close to the wall,lamp,image148
what is the frame on the floor close to the wall,photo,image148
what are the objects on the chair,clothes,image148
what is the object close to the wall,wall_decoration,image148
what is the object on the floor close to the wall corner,lamp,image149
what is the object on the table,plant,image149
what are the objects on the chair,"clothes, jacket",image149
what is the framed object close to the wall,wall_decoration,image149
what is object on the table top,tablecloth,image149
how many wall decorations are there,3,image150
what is the largest object,chair,image150
what are the objects on the floor in front of the door,"shoe, umbrella, bag",image150
what is the object close to the wall on the left side of the door,telephone,image150
what is the object close to the wall,poster_board,image450
how many chairs are there,3,image453
what are the objects on the counter,"paper, pen, clock, box",image453
what is the object on the chair,jacket,image453
how many plants are there on the floor,3,image457
what is the object on the floor,plant,image457
how many chairs are there,3,image467
what is the object close to the wall,wall_decoration,image467
what is the object on the floor close to the chairs,table,image467
what is the object on the floor,sofa,image483
how many sofas are there,2,image483
what are the objects in the shelves,books,image483
how many doors are open,1,image485
what is the object on the top shelf,monitor,image485
what are the objects in the shelf,"books, paper",image485
what is the largest object,sofa,image486
what is the object on the floor right of the sofa,box,image486
what is the largest object,sofa,image487
what is the object on the floor right of the sofa,stool,image487
what are the objects on the stool,"lamp, flower_pot",image487
what is the object close to the room divider,ironing_board,image492
what is the object on the floor close to the room divider,can,image492
what are the objects on the floor,"basket, table, chair, machine",image492
what is the object in the shelves,box,image494
what is the object on the floor right of the shelf,chair,image494
what is the object on the floor,floor_mat,image494
what is the object on the floor in front of the table,garbage_bin,image496
what is the object on the table,box,image496
what is the largest object on the floor,toilet,image497
what is the on the towel rod,towel,image497
what is the object left of the toilet,garbage_bin,image497
what is the object close to the counter,sink,image499
what is the object close to the wall above the sink,mirror,image499
what is the object on the floor right of the counter,toilet,image499
what is the object on the floor left of the bathtub,toilet,image501
what is the object right of the screen,bathtub,image501
what is the object left of the toilet,garbage_bin,image501
what is the object on the floor left of the counter,toilet,image503
what is the object close to the wall left of the mirror,towel_rod,image503
what is the object on the floor left of the toilet,bathtub,image503
what is the largest object,toilet,image506
what is the object on the floor in front of the wall,basket,image506
what is the object on the floor right of the toilet,floor_mat,image506
how many monitors are there in the table,2,image528
what is the object on the floor in front of the table,chair,image528
what is the object on the floor left of the table,bed,image528
what are the objects in the shelf,clothes,image530
what is the object on the floor left of the cabinet,bed,image530
how many cabinets are there,2,image530
what is the largest object,chair,image536
what is the object close to the wall,wall_decoration,image536
what is the object on the floor left of the bed,lamp,image540
what are the objects on the bed,"pillow, jacket, bed_sheets",image540
what is the object on the floor in front of the wall,cabinet,image540
what is the largest object,bed,image541
what are the objects on the bed,"pillow, blanket",image541
what is the object on the floor in front of the cabinet,garbage_bin,image541
what is the object on the floor in front the cabinet,basket,image543
what is the object on the floor in front of the wall,cabinet,image543
what is the largest object on the table,monitor,image552
what is the object on the floor in front of the table,chair,image552
what is the object on the floor left of the table,cabinet,image552
what is the object close to the wall,wall_decoration,image572
what is the object close to the counter,stove,image572
what is the object on the counter left of the stove,microwave,image572
what is the largest object,refridgerator,image575
what is the object close to the counter,sink,image575
what is the object close to the wall above the counter,window,image575
what is the object close to the counter,sink,image576
what is the object in the knife rack,knife,image576
what is the object on the floor left of the counter,dishwasher,image576
what is the largest object,table,image577
what is the object close to the wall above the table,cabinet,image577
how many doors are open,1,image578
what is the largest object,cabinet,image578
what are the objects on the table,"monitor, lamp, cup, cell_phone, paper",image585
what is the object on the floor in front of the desk,chair,image585
what is the object on the floor in front of the wall,cabinet,image585
what is the object on the table,lamp,image588
what is the largest object,sofa,image588
how many pictures are there on the wall,3,image588
what is the object close to the floor,floor_mat,image589
what is the object close to the wall below the window,heater,image589
what is the object close to the wall,picture,image589
how many sofas are there,2,image590
what is the object on the shelf,toy,image590
what is the object close to the wall below the window,heater,image590
what is the on the floor in front of the window,table,image596
what is the object close to the wall behind the table,window,image596
how many chairs are there,3,image596
what is the object on the floor behind the table,sofa,image601
what is the object on the floor in the corner,stool,image601
what is the object on the floor in front of the sofa,table,image601
what is the object on the table,television,image602
what is the object on the floor in front of the wall,speaker,image602
what is the object close to the wall,picture,image602
what is the largest object on the table,monitor,image614
what is the object close to the wall,poster_board,image614
what is the object close to the wall behind the counter,window,image614
what are the objects on the shelf,books,image626
what is the object on the side rack,plant,image626
what is the object in the corner close to the wall,plant,image628
what is the object close to the wall,poster_board,image628
what are the objects on the table,"stapler, paper, file_holder",image628
how many chairs are there,2,image629
what are the objects on the shelves,books,image629
what is the object in front of the wall left of the shelf,box,image629
how many sofas are there,3,image630
what is the object close to the wall,whiteboard,image630
what is the object in front of the sofa,table,image630
what is the object close to the wall,television,image643
what is the object on the floor below the television,table,image643
what is the object on the floor right of the table,box,image643
what are the objects on the shelves,books,image646
what is the object on the shelf,dvd_player,image646
what is the object on the floor,toilet,image648
what is the object on the tissue holder,tissue,image648
what is the object above the sink,mirror,image648
what is the object above the sink,mirror,image649
what is the object close to the counter,sink,image649
what is the object behind the screen,bathtub,image649
what is the object above the toilet close to the wall,mirror,image659
what is the object close to the towel rod,towel,image659
what is the object close to the wall above to the towel rod,cabinet,image659
what is the object right of the weighing machine,room_divider,image662
what are the objects on the shelf,"sponge, bottle_of_liquid",image662
what is the object close to the towel rod,towel,image667
what is the object behind the screen,bathtub,image667
what is the object in front of the screen,toilet,image667
what is the object close to the counter,sink,image674
what is the object on the counter in the corner,mirror,image674
what is the object close to the towel rod,towel,image674
what is the object close to the counter,sink,image682
what is the object close to the sink,faucet,image682
what is the object close to the wall above the counter,mirror,image682
what is the object on the floor left of the pots,floor_mat,image683
what is the object on the floor right of the floor mat,pot,image683
what is the object behind the floor mat,bathtub,image683
what is the object behind the screen,bathtub,image692
what is the object close to the wall above the bathtub,soap,image692
what is the object close to the counter,sink,image695
what is the object close to the sink,faucet,image695
what is the object close to the wall above the counter,mirror,image695
what is the object on the floor behind the toilet,bathtub,image696
what is the object in front of the bathtub,toilet,image696
what is the object close to the wall,faucet,image696
what is the object close to the tissue rod,tissue,image703
what is the object on the floor,garbage_bin,image703
what is the object close to the wall below the window,towel_rod,image703
what is the object close to the tissue rod,tissue,image705
what is the object close to the towel rod,towel,image705
what is the object in front of the counter,toilet,image705
what is the object close to the shelves,towel,image715
what is the object close to the door,door_knob,image715
what is the object close to the counter,sink,image720
what is the object on the counter left of the hair dryer,towel,image720
what is the object above counter close to the wall,mirror,image720
what is the object close to the counter,sink,image721
what is the object close to the sink,faucet,image721
what is the object close to the wall above the counter,mirror,image721
what is the object close to the towel rod,towel,image723
what is the object on the floor in front of the wall,toilet,image723
what is the object close to the floor,floor_mat,image723
what is the object on the floor in the corner,garbage_bin,image730
what is the object on the floor in front of the dustbin,toilet,image730
what is the object close to the floor,floor_mat,image730
what is the object close to the counter,sink,image735
what is the object on the floor right of the counter,stool,image735
what is the object on the counter right side of the sink,towel,image735
what is the object on the window pane,plant,image736
what is the object close to the floor,bathtub,image736
what is the object on the candle stand on the bathtub,candle,image736
what is the object close to the door,door_knob,image737
what is the object close to the floor,bathtub,image737
what is the object on the floor right of the bathtub,cabinet,image737
what is the object close to the counter,sink,image738
what is the object on the floor left of the counter,toilet,image738
what is the object close to the wall above the counter,mirror,image738
what is the object close to the towel rod,towel,image739
what is the object on the floor,floor_mat,image739
what is the object on the floor in front of the room divider,bathtub,image739
how many chairs are there,6,image748
what is the largest object,table,image748
what is the object on the counter below the cabinet,coffee_machine,image751
what is the object close to the wall above the toaster,microwave,image751
what is the object close to the floor,floor_mat,image751
what is the object close to the wall above the toaster,microwave,image752
what is the object close to the floor,floor_mat,image752
what is the object on the counter below the microwave,toaster,image752
what is the object on the counter below the cabinet,microwave,image793
what is the object on the table in the pot,plant,image793
what is the object in the box,fruit,image793
what is the object on the table,flower_pot,image805
what is the object close to the floor,floor_mat,image805
what is the object left of the table,chair,image805
what is the largest object,refridgerator,image807
what is the object close to the counter,sink,image807
what is the object close to the sink,faucet,image807
what is the object left of the wall divider,refridgerator,image815
how many chairs are there,3,image815
what is the object close to the wall,picture,image815
what is the object on the counter in the corner,microwave,image819
what is the object right of the counter,dishwasher,image819
what is the object below the counter,cabinet,image819
what is the object close to the counter,stove,image826
what is the object below the counter left of the cabinet,dishwasher,image826
what is the object in the pull tray,garbage_bin,image826
how many chairs are there,8,image828
what is the largest object,table,image828
what is the object on the shelf above the counter,microwave,image828
what are the objects on the table,"printer, monitor, paper, tissue_box",image829
what is the object on the shelf above the counter,microwave,image829
what is the object below the table,chair,image829
what is the largest object,refridgerator,image831
what is the object on the counter,stove,image831
what is the object close to the refrigerator,magnet,image831
what is the object close to the counter,stove,image848
what is the object below the counter,dishwasher,image848
what is the object close to the sink,faucet,image848
what is the object close to the counter,stove,image854
what is the object close to the wall below the cabinet,microwave,image854
what is the object left of the microwave,refridgerator,image854
what is the object on the floor in front of the cabinet,bag,image864
what is the object on the floor below the table,chair,image864
how many chairs are there,4,image864
what is the object close to the counter,stove,image867
what is the object close to the wall above the stove,microwave,image867
what is the object right of the counter,dishwasher,image867
what is the object close to the refrigerator handle,towel,image872
what is the object on the counter close to the box,coffee_machine,image872
what is the object close to the wall above the counter,microwave,image872
what is the object on the counter left of the tissue,toaster,image874
what is the object on the counter in front of the toaster,tea_kettle,image874
what is the object on the tissue handle,tissue,image874
how many chairs are there,1,image876
what is the object on the floor in front of the cabinet,garbage_bin,image876
what is the object close to the wall,dishwasher,image876
what is the object on the floor in front of the cabinet,garbage_bin,image877
what is the object close to the counter,stove,image877
what is the object on the counter in the corner,television,image877
how many chairs are there,3,image878
what is the largest object,table,image878
what is the object on the table right of the tissue box,flower_pot,image878
how many chairs are there,4,image879
what is the object close to the wall,wall_decoration,image879
what is the object on the table right of the tissue box,flower_pot,image879
what is the object in front of the counter,chair,image880
what is the object on the counter,decoration_item,image880
what is the object close to the counter,stove,image883
what is the object close to the sink,faucet,image883
what is the object below the counter,cabinet,image883
what is the object on the floor left of the counter,ladder,image884
what is the object close to the wall right of the door,refridgerator,image884
what is the object close to the wall right of the counter,dishwasher,image884
how many chairs are there,6,image888
what is the largest object,table,image888
what is the object close to the wall,picture,image888
what is the object close to the counter,stove,image892
what is the object close to the knife rack,knife,image892
what is the object below the counter,cabinet,image892
what is the object close to the counter,stove,image896
what is the object below the counter,cabinet,image896
what is the object below the counter in front of the cabinet,dishwasher,image896
how many chairs are there,4,image900
what is the object on the floor in the corner,plant,image900
what is the object close to the wall,picture,image900
what is the object close to the counter,sink,image903
what is the object close to the sink,faucet,image903
what is the object close to the counter,stove,image905
what is the object on the counter in the corner,coffee_machine,image905
what is the object below the counter,cabinet,image905
what is the object close to the wall,picture,image909
what is the object on the stool,lamp,image909
what are the objects on the bed,"blanket, pillow",image909
what is the object left of the screen,window,image911
what is the object right of the screen,cabinet,image911
how many chairs are there,1,image911
what is the object on the floor in front of the wall,television,image912
how many doors are open,1,image912
waht is the object close to the door,door_knob,image912
what is the object close to the wall above the table,television,image913
how many pictures are there close to the wall,2,image913
what is the object on the table,photo,image913
what is the object close to the wall above the bed,picture,image914
what is the object on the stool,lamp,image914
what is the largest object,bed,image914
what is the object on the floor right of the wall,chair,image915
how many doors are open,1,image915
what is the object close to the wall,picture,image915
how many windows are there,2,image920
what are the objects on the table,"television, dvd_player",image920
what is the object on the floor in front of the wall,cabinet,image920
what is the largest object,bed,image921
what are the objects on the bed,"blanket, pillow",image921
what is the object close to the wall,picture,image921
what is the object close to the door,door_knob,image922
what are the object close to the wall right of the door,books,image922
what is the object on the floor in front of the wall,table,image922
what is the object close to the wall above the cabinet,mirror,image923
what is the object on the table,clock,image923
what is the object on the floor in front of the wall,cabinet,image923
how many doors are open,2,image925
what is the object on the floor left side of the wall,chair,image925
what is the largest object,cabinet,image925
how many beds are there,2,image931
what are the objects on the table,"fan, lamp, books",image931
what is the object on the floor in front of the cabinet,garbage_bin,image931
what are the objects on the bed,"pillow, blanket, soft_toy",image937
what are the objects on the stool right of the bed,"towel, telephone, toy",image937
what is the object close to the wall above the stool,window,image937
what is the object on the bed,pillow,image940
what is the object on the floor left of the bed,cabinet,image940
what is the largest object,bed,image941
what are the objects on the desk,"lamp, books",image941
what is the object on the floor left of the bed,cabinet,image941
what is the largest object,bed,image953
what is the object on the blanket,clothes,image953
what are the objects on the shelf,books,image953
how many chairs are there,1,image957
what is the object on the floor behind the chiar,bed,image957
what is the object close to the wall,clothes,image957
what are the objects in the shelves,books,image979
what is the object close to the wall right of the shelf,window,image979
what is the object on the floor in front of the window,table,image979
what is the largest object,bed,image980
what is the object on the floor in front of the window,piano,image980
what is the object on the stool,television,image980
what is the object on the stool,lamp,image982
what is the object close to the wall above the table,mirror,image982
what are the objects on the table,books,image982
what is the largest object on the table,lamp,image986
what is the largest object,bed,image986
how many chairs are there,1,image986
what is the object on the stool,books,image987
what is the largest object,bed,image987
what is the object on the floor left of the stool,speaker,image987
what is the largest object on the table,lamp,image988
how many chairs are there,1,image988
what is the object on the bed,pillow,image988
what is the object close to the rack,photo,image989
what is the largest object,bed,image989
what is the object on the floor left of the bed,chair,image989
what is the object on the floor right of the shelf,garbage_bin,image990
what is the object close to the wall,mirror,image990
what are the objects on the shelf,books,image990
how many lamps are there,2,image996
what is the largest object,bed,image996
what is the object on the floor right of the bed,stool,image996
what is the largest object,bed,image998
what is the object on the floor right of the bed,stool,image998
what is the object on the stool,lamp,image998
what is the object on the floor in front of the cabinet,books,image998
what is the object close to the wall,picture,image1007
what is the largest object,bed,image1007
what are the objects on the bed,clothes,image1007
what is the object close to the wall,picture,image1014
what is the largest object,bed,image1014
what are the objects on the bed,"pillow, blanket",image1014
what is the object close to the wall,picture,image1019
how many beds are there,2,image1019
how many doors are open,1,image1019
how many beds are there,2,image1020
what are the objects on the bed,"pillow, blanket",image1020
what is the object on the floor in the corner,stool,image1020
what is the object close to the wall,picture,image1026
what is the object on the floor in front of the wall,sofa,image1026
what is the object close to the door,door_knob,image1026
what is the object on the floor left of the bed,stool,image1027
what is the largest object,bed,image1027
what is the object on the stool,lamp,image1027
what is the largest object,bed,image1029
what is the object on the stool,lamp,image1029
what is the object close to the wall,picture,image1029
what is the object on the floor in front of the wall,bed,image1036
what is the object close to the tissue box,tissue,image1036
what are the objects on the bed,"pillow, blanket",image1036
how many doors are open,1,image1037
what is the object on the chair,clothes,image1037
what is the object on the floor close to the wall,cabinet,image1037
how many chairs are there,1,image1040
what are the objects in the shelves,books,image1040
what is the object on the floor in front of the wall,bed,image1040
how many beds are there,2,image1042
what is the object close to the wall,picture,image1042
what is the object on the floor in front of the wall,cabinet,image1042
what is the object on the floor in front of the wall,cabinet,image1043
what is the object on the floor right of the cabinet,bed,image1043
what is the object close to the shelves,shoe,image1051
what is the object on the floor in front of the wall,cabinet,image1051
what is the object on the floor in front of the shoes,garbage_bin,image1051
what is the object on the floor in front of the wall,cabinet,image1055
what is the object on the floor left of the cabinet,ladder,image1055
what is the object on the floor right of the cabinet,bed,image1055
what is the object on the bed,pillow,image1055
how many beds are there,2,image1055
what is the object close to the wall left of the bed,window,image1055
what is the largest object,bed,image1063
what is the object close to the wall,picture,image1063
what is the object on the floor in front of the wall,speaker,image1063
what is the object on the second shelf,photo,image1065
what is the object on the floor in front of the wall,cabinet,image1065
what is the object close to the door knob,toy,image1065
what is the largest object,bed,image1066
what is the object on the floor right of the bed,stool,image1066
what is the object on the floor in front of the table,bag,image1066
what is the object on the floor below the window,stool,image1068
what is the object on the floor right of the stool,garbage_bin,image1068
what is the object on the blue box,bag,image1068
what is the object on the blue box,bag,image1068
what is the object on the floor right of the table,bag,image1068
how many chairs are there,1,image1068
what is the object on the stool,lamp,image1086
how many sofas are there,2,image1086
what is the object close to the wall,mirror,image1086
what is the largest object,bed,image1097
what are the objects on the bed,"pillow, blanket",image1097
what is the object close to the wall above the stool,window,image1097
what is the largest object,bed,image1105
what is the object on the bed,blanket,image1105
what is the object close to the wall above the bed,window,image1105
what is the largest object,bed,image1116
what is the object on the bed,pillow,image1116
what is the object close to the wall,picture,image1116
what is the object on the bed,pillow,image1116
what is the largest object on the stool,lamp,image1116
what is the object on the floor in front of the wall,stool,image1116
what is the largest object,bed,image1133
how many pillows are there on the bed,2,image1133
what is the object on the stool,lamp,image1133
what is the object on the stool,television,image1138
what is the largest object,bed,image1138
what is the object behind the bed,lamp,image1138
what is the largest object,bed,image1141
what are the objects on the shelf,books,image1141
what is the object close to the wall left of the shelf,window,image1141
what is the object on the cabinet,photo,image1159
how many pictures are there close to the wall,2,image1159
what is the largest object,cabinet,image1159
how many pictures are there close to the wall,3,image1161
what is the object on the floor in front of the wall,table,image1161
what is the largest object on the table,lamp,image1161
what is the largest object,bed,image1168
